,Unnamed: 0,ID,Estado,Municipio,Población total,Hombres,Mujeres,Latitude,Longitude
0,0,1,Baja California,Tijuana,1922523,968740,953783,32.5317397,-117.0195295
1,1,2,Ciudad de México,Iztapalapa,1835486,887651,947835,19.3591195,-99.0929294
2,2,3,Guanajuato,León,1721215,846673,874542,42.63414505,-5.971415104539984
3,3,4,Puebla,Puebla,1692181,809485,882696,18.833333,-98.0
4,4,5,Estado de México,Ecatepec de Morelos,1645352,798549,846803,19.5994083,-99.0487281
5,5,6,Chihuahua,Juárez,1512450,756977,755473,19.29348285,-100.46459244066614
6,6,7,Jalisco,Zapopan,1476491,720592,755899,20.7211203,-103.3913671
7,7,8,Jalisco,Guadalajara,1385629,666997,718632,20.6720375,-103.338396
8,8,9,Ciudad de México,Gustavo A. Madero,1173351,563874,609477,19.4838614,-99.1134723
9,9,10,Nuevo León,Monterrey,1142994,564805,578189,25.6802019,-100.315258
10,10,11,Estado de México,Nezahualcóyotl,1077208,519922,557286,19.4079028,-99.0181547
11,11,12,Baja California,Mexicali,1049792,529248,520544,32.6405247,-115.474899
12,12,13,Querétaro,Querétaro,1049777,514589,535188,20.5927744,-100.3902245
13,13,14,Sinaloa,Culiacán,1003530,491046,512484,24.7978965,-107.393395
14,14,15,Yucatán,Mérida,995129,479369,515760,38.9174665,-6.3443977
15,15,16,Aguascalientes,Aguascalientes,948990,462073,486917,22.0000001,-102.5000001
16,16,17,Chihuahua,Chihuahua,937674,457240,480434,28.5000001,-106.0000001
17,17,18,Sonora,Hermosillo,936263,467490,468773,29.0948207,-110.9692202
18,18,19,San Luis Potosí,San Luis Potosí,911908,440897,471011,22.5000001,-100.4949145
19,19,20,Quintana Roo,Benito Juárez,911503,459325,452178,19.3717897,-99.1579191
20,20,21,Estado de México,Toluca,910608,439173,471435,19.292545,-99.6569007
21,21,22,Coahuila de Zaragoza,Saltillo,879958,437792,442166,25.4230425,-100.9927509
22,22,23,Michoacán de Ocampo,Morelia,849053,407129,441924,19.7027116,-101.1923818
23,23,24,Estado de México,Naucalpan de Juárez,834434,402495,431939,19.474288950000002,-99.29117133981366
24,24,25,Guerrero,Acapulco de Juárez,779566,371794,407772,16.8680495,-99.8940182
25,25,26,Ciudad de México,Álvaro Obregón,759137,361007,398130,19.3894713,-99.1957079
26,26,27,Jalisco,Tlajomulco de Zúñiga,727750,360342,367408,20.48187375,-103.40050966382874
27,27,28,Coahuila de Zaragoza,Torreón,720848,351753,369095,25.542698,-103.410512
28,28,29,Estado de México,Chimalhuacán,705193,344571,360622,19.4339293,-98.9580149
29,29,30,Tamaulipas,Reynosa,704767,350361,354406,26.0907673,-98.2788191
30,30,31,Ciudad de México,Tlalpan,699928,334877,365051,19.2884203,-99.1670508
31,31,32,Durango,Durango,688697,335412,353285,24.833333,-104.833333
32,32,33,Jalisco,San Pedro Tlaquepaque,687127,338844,348283,20.59257745,-103.3388802826151
33,33,34,Tabasco,Centro,683607,330080,353527,47.5490251,1.7324062
34,34,35,Estado de México,Tlalnepantla de Baz,672202,327017,345185,19.546490249999998,-99.1899352247449
35,35,36,Nuevo León,Apodaca,656464,331513,324951,25.7816542,-100.1887501
36,36,37,Nuevo León,Guadalupe,643143,318993,324150,25.6572916,-100.15571440534205
37,37,38,Ciudad de México,Coyoacán,614447,289110,325337,19.3500942,-99.1623319
38,38,39,Veracruz de Ignacio de la Llave,Veracruz,607209,287664,319545,19.333333,-96.666667
39,39,40,Chiapas,Tuxtla Gutiérrez,604147,287524,316623,16.753801,-93.115959
40,40,41,Guanajuato,Irapuato,592953,290770,302183,20.6758761,-101.3521052
41,41,42,Jalisco,Tonalá,569913,281695,288218,20.6185208,-103.22273591034522
42,42,43,Estado de México,Cuautitlán Izcalli,555163,268956,286207,19.6531356,-99.2145002
43,43,44,Estado de México,Tecámac,547503,265520,281983,19.7115011,-98.968354
44,44,45,Ciudad de México,Cuauhtémoc,545884,260951,284933,19.4416128,-99.1518637
45,45,46,Estado de México,Ixtapaluca,542211,263083,279128,19.3170983,-98.9050144
46,46,47,Tamaulipas,Matamoros,541979,267898,274081,25.8810158,-97.5064866
47,47,48,Estado de México,Atizapán de Zaragoza,523674,253429,270245,19.564017049999997,-99.27953557802653
48,48,49,Guanajuato,Celaya,521169,253045,268124,20.521788,-100.8140458
49,49,50,Estado de México,Tultitlán,516341,251638,264703,19.616991249999998,-99.15927745045195
50,50,51,Sinaloa,Mazatlán,501441,245381,256060,23.2313053,-106.4153144
51,51,52,Veracruz de Ignacio de la Llave,Xalapa,488531,226821,261710,19.5408338,-96.9146374
52,52,53,Nuevo León,General Escobedo,481213,242161,239052,25.790768,-100.3063241
53,53,54,Nuevo León,Juárez,471523,237717,233806,19.29348285,-100.46459244066614
54,54,55,Sinaloa,Ahome,459310,225316,233994,25.924049099999998,-109.20583440830308
55,55,56,Baja California,Ensenada,443807,221307,222500,31.8658887,-116.602983
56,56,57,Ciudad de México,Venustiano Carranza,443704,210118,233586,19.4192316,-99.1133947
57,57,58,Ciudad de México,Xochimilco,442178,215452,226726,19.2634938,-99.1033663
58,58,59,Sonora,Cajeme,436484,214601,221883,27.71198065,-109.9022075359282
59,59,60,Ciudad de México,Benito Juárez,434153,202121,232032,19.3717897,-99.1579191
60,60,61,Ciudad de México,Azcapotzalco,432205,204950,227255,19.4837824,-99.1844166
61,61,62,Estado de México,Nicolás Romero,430601,209774,220827,19.63422625,-99.3695564379207
62,62,63,Nayarit,Tepic,425924,207092,218832,21.5119156,-104.8915889
63,63,64,Tamaulipas,Nuevo Laredo,425058,209442,215616,27.4761506,-99.5185992
64,64,65,Ciudad de México,Miguel Hidalgo,414470,195467,219003,19.4075059,-99.1917103
65,65,66,Nuevo León,San Nicolás de los Garza,412199,202958,209241,25.7367433,-100.269807
66,66,67,Ciudad de México,Iztacalco,404695,192352,212343,19.3962535,-99.0965875
67,67,68,Estado de México,Chalco,400057,193129,206928,19.2382585,-98.81888376395177
68,68,69,Nuevo León,García,397205,200708,196497,25.8054661,-100.63964675280096
69,69,70,Ciudad de México,Tláhuac,392313,190190,202123,19.2703721,-99.0049033
70,70,71,Estado de México,Valle de Chalco Solidaridad,391731,190674,201057,19.282153,-98.9416122
71,71,72,Morelos,Cuernavaca,378476,178729,199747,18.9218274,-99.2342282
72,72,73,Durango,Gómez Palacio,372750,184537,188213,25.5732473,-103.494779
73,73,74,Michoacán de Ocampo,Uruapan,356786,172310,184476,19.4060961,-102.03430719292024
74,74,75,Chiapas,Tapachula,353706,171610,182096,14.9258055,-92.32219567868036
75,75,76,Baja California Sur,Los Cabos,351111,180944,170167,43.5139571,-6.1001155
76,76,77,Tamaulipas,Victoria,349688,169229,180459,-36.5986096,144.6780052
77,77,78,Quintana Roo,Solidaridad,333800,170476,163324,20.584374699999998,-87.50345268296755
78,78,79,San Luis Potosí,Soledad de Graciano Sánchez,332072,161877,170195,22.297055450000002,-100.86719560926427
79,79,80,Puebla,Tehuacán,327312,154407,172905,18.465801149999997,-97.39783479972402
80,80,81,Hidalgo,Pachuca de Soto,314331,149559,164772,20.1165413,-98.7413535
81,81,82,Veracruz de Ignacio de la Llave,Coatzacoalcos,310698,149139,161559,18.1396787,-94.4501731
82,82,83,Nuevo León,Santa Catarina,306322,152617,153705,-27.0628367,-51.114965
83,83,84,Estado de México,La Paz,304088,148202,155886,-16.4955455,-68.1336229
84,84,85,Querétaro,San Juan del Río,297804,145350,152454,16.8969181,-96.14738987188724
85,85,86,Tamaulipas,Tampico,297562,141757,155805,22.2157619,-97.8577713
86,86,87,Campeche,Campeche,294077,141555,152522,19.330194,-89.94351380117641
87,87,88,Estado de México,Coacalco de Berriozábal,293444,141107,152337,19.6359452,-99.0948573
88,88,89,Baja California Sur,La Paz,292241,145803,146438,-16.4955455,-68.1336229
89,89,90,Jalisco,Puerto Vallarta,291839,146187,145652,20.6407176,-105.220306
90,90,91,Sinaloa,Guasave,289370,143018,146352,25.5046381,-108.539960314508
91,91,92,Estado de México,Huixquilucan,284965,136466,148499,19.37093275,-99.35680743246913
92,92,93,Guerrero,Chilpancingo de los Bravo,283354,134497,148857,17.3919748,-99.7428629297313
93,93,94,Estado de México,Zumpango,280455,136971,143484,19.81293675,-99.08180953352705
94,94,95,Estado de México,Texcoco,277562,134940,142622,19.47559065,-98.85539643391266
95,95,96,Guanajuato,Salamanca,273417,132278,141139,40.9651572,-5.6640182
96,96,97,Oaxaca,Oaxaca de Juárez,270955,125852,145103,17.0604663,-96.7253575
97,97,98,Tamaulipas,Altamira,269790,133306,136484,43.3768445,-4.1197476
98,98,99,Sonora,Nogales,264782,132260,132522,38.5865813,-6.7491704
99,99,100,Campeche,Carmen,248845,123043,125802,39.9556215,-4.4014821
